id,url,doc_url,title,proponent,status,include
10639,https://va.mite.gov.it/it-IT/Oggetti/Info/10639,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10639/15821,"Impianto fotovoltaico denominato ""FV UTA"" con potenza di picco pari a 98,55 MWp sito nel Comune di Uta (CA)",CVA EOS S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),YES
10276,https://va.mite.gov.it/it-IT/Oggetti/Info/10276,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10276/15154,"Impianto agrivoltaico denominato ""Madagoccu"" della potenza di 75 MW da realizzarsi nel Comune di Uta e Assemini (CA)",Repsol Uta S.r.l,Valutazione Impatto Ambientale (PNIEC-PNRR),YES
10107,https://va.mite.gov.it/it-IT/Oggetti/Info/10107,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10107/14883,"Progetto di impianto fotovoltaico con potenza nominale 65,8028 MWp e delle relative opere di connessione, da realizzarsi in località ""Sa Tanca de su Marchesu"", Comune di Uta (CA).",AGRISARD S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),YES
9293,https://va.mite.gov.it/it-IT/Oggetti/Info/9293,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/9293/13635,"progetto di un IMPIANTO FOTOVOLTAICO A TERRA COLLEGATO ALLA RTN, Potenza nominale 96,152 MWp, ocalità ""Serra Taccori"",Comune di Uta (CA)",DIOMEDE SRL,Valutazione Impatto Ambientale (PNIEC-PNRR),YES
10883,https://va.mite.gov.it/it-IT/Oggetti/Info/10883,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10883/16265,"Progetto di un impianto agrivoltaico denominato ""Prangili"" della potenza di 33,614 MW e delle opere di connessione alla RTN, da realizzarsi nel Comune di Uta e Assemini (CA).",IBERDROLA RENOVABLES ITALIA S.p.A.,Valutazione Impatto Ambientale (PNIEC-PNRR),YES
10563,https://va.mite.gov.it/it-IT/Oggetti/Info/10563,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10563/15654,"Impianto fotovoltaico di 94,99 MWp compreso di Storage da 10 MW, sito in località ""Su Inziru"" nel Comune di Uta (CA)",RISORSESARDE S.R.L.,Valutazione Impatto Ambientale (PNIEC-PNRR),YES
10884,https://va.mite.gov.it/it-IT/Oggetti/Info/10884,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/10884/16266,"Progetto di un impianto agrivoltaico, della potenza complessiva pari a 34,769 MWp, da realizzarsi in località Villamuscas Comune di Uta (CA)",UPV S.r.l.,Valutazione Impatto Ambientale (PNIEC-PNRR),YES
8607,https://va.mite.gov.it/it-IT/Oggetti/Info/8607,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/8607/12686,"Progetto realizzazione di un impianto fotovoltaico denominato ""Sardinia Agrivolt"" della potenza di 99.792 MW in comune di Uta (CA) località Su Coddu de sa Feurra.",IPC AGRIVOLT S.R.L.,Valutazione Impatto Ambientale (PNIEC-PNRR),YES
8187,https://va.mite.gov.it/it-IT/Oggetti/Info/8187,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/8187/12046,"Progetto di un impianto fotovoltaico di potenza nominale pari a 41,758 MW, sito nel Comune di Uta (CA) all'interno dell'Area Industriale Macchiareddu.",PV ICHNOSOLAR S.R.L,Valutazione Impatto Ambientale (PNIEC-PNRR),YES
1702,https://va.mite.gov.it/it-IT/Oggetti/Info/1702,https://va.mite.gov.it/it-IT/Oggetti/Documentazione/1702/2967,"Impianto solare termodinamico di potenza nominale di 19,5 MW in località Macchiareddu ""Su Coddu de Sa Feurra"" nel Comune di Uta (CA)",Sardinia Green Island S.p.A.,Verifica di Assoggettabilità a VIA,YES
