PDF_File,Page,Line,Matched_Text
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,9,13,"• Latitudine 39°25'25.05""N, Longitudine 8°50'16.22""E."
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,9,14,• Altezza media di 73 m s.l.m.
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,9,15,• Carta d’Italia in scala 1:25.000 edita dall’IGM Foglio 225 - II - NE .
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,9,16,• Carta Tecnica Regionale della Sardegna in scala 1:10.000 foglio 547 – Provincia di Cagliari-Medio
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,9,18,• Carta Geologica d’Italia foglio n° 547 – Villacidro.
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,11,8,"altitudine, latitudine e longitudine, si ricavano i valori giornalieri medi mensili della irradiazione solare sul"
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,15,27,"moduli), con altezza al mozzo delle strutture di circa 2,270 m dal suolo. In questo modo nella posizione a +/-"
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,15,28,"55° i pannelli raggiungono un’altezza minima dal suolo di 1,30 m e un’altezza massima di circa 3,184 m."
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,21,3,"• tracker ad inseguimento monoassiale di altezza da terra minima 1,30 m, composti da 28 o 56"
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,21,13,"• tracker ad inseguimento monoassiale di altezza da terra minima 1,30 m, composti da 28 o 56"
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,21,23,"• tracker ad inseguimento monoassiale di altezza da terra minima 1,30 m, composti da 28 o 56"
